[01/23] מצנח_מ01  (elapsed 0s)
    round 1/8 ok  (va=657c vb=298c mod=205c)
    round 2/8 ok  (va=587c vb=286c mod=131c)
    round 3/8 ok  (va=576c vb=422c mod=234c)
    round 4/8 ok  (va=566c vb=293c mod=175c)
    round 5/8 ok  (va=573c vb=293c mod=221c)
    round 6/8 ok  (va=565c vb=292c mod=140c)
    round 7/8 ok  (va=571c vb=293c mod=140c)
    round 8/8 ok  (va=249c vb=293c mod=201c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_מצנח_מ01.json
[02/23] כנפיים_מ01  (elapsed 71s)
    round 1/8 ok  (va=518c vb=371c mod=138c)
    round 2/8 ok  (va=273c vb=301c mod=109c)
    round 3/8 ok  (va=256c vb=392c mod=110c)
    round 4/8 ok  (va=206c vb=327c mod=134c)
    round 5/8 ok  (va=205c vb=327c mod=121c)
    round 6/8 ok  (va=206c vb=326c mod=129c)
    round 7/8 ok  (va=206c vb=327c mod=97c)
    round 8/8 ok  (va=206c vb=327c mod=277c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_כנפיים_מ01.json
[03/23] ברזנט_מ02  (elapsed 138s)
    round 1/8 ok  (va=219c vb=279c mod=183c)
    round 2/8 ok  (va=156c vb=241c mod=105c)
    round 3/8 ok  (va=301c vb=248c mod=163c)
    round 4/8 ok  (va=252c vb=276c mod=120c)
    round 5/8 ok  (va=282c vb=285c mod=121c)
    round 6/8 ok  (va=268c vb=279c mod=158c)
    round 7/8 ok  (va=280c vb=240c mod=156c)
    round 8/8 ok  (va=287c vb=253c mod=259c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_ברזנט_מ02.json
[04/23] פטיש_מ02  (elapsed 204s)
    round 1/8 ok  (va=240c vb=321c mod=156c)
    round 2/8 ok  (va=213c vb=218c mod=117c)
    round 3/8 ok  (va=266c vb=310c mod=142c)
    round 4/8 ok  (va=271c vb=230c mod=140c)
    round 5/8 ok  (va=270c vb=285c mod=114c)
    round 6/8 ok  (va=271c vb=272c mod=110c)
    round 7/8 ok  (va=244c vb=277c mod=100c)
    round 8/8 ok  (va=272c vb=327c mod=248c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_פטיש_מ02.json
[05/23] מפה_מ03  (elapsed 268s)
    round 1/8 ok  (va=228c vb=311c mod=204c)
    round 2/8 ok  (va=247c vb=227c mod=119c)
    round 3/8 ok  (va=248c vb=219c mod=149c)
    round 4/8 ok  (va=247c vb=225c mod=116c)
    round 5/8 ok  (va=248c vb=225c mod=129c)
    round 6/8 ok  (va=266c vb=225c mod=133c)
    round 7/8 ok  (va=266c vb=225c mod=118c)
    round 8/8 ok  (va=266c vb=225c mod=268c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_מפה_מ03.json
[06/23] משקפת_מ03  (elapsed 324s)
    round 1/8 ok  (va=296c vb=377c mod=164c)
    round 2/8 ok  (va=344c vb=284c mod=147c)
    round 3/8 ok  (va=339c vb=242c mod=129c)
    round 4/8 ok  (va=358c vb=269c mod=137c)
    round 5/8 ok  (va=339c vb=361c mod=109c)
    round 6/8 ok  (va=339c vb=268c mod=121c)
    round 7/8 ok  (va=339c vb=314c mod=161c)
    round 8/8 ok  (va=339c vb=322c mod=315c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_משקפת_מ03.json
[07/23] מפתח_מ03  (elapsed 394s)
    round 1/8 ok  (va=283c vb=316c mod=211c)
    round 2/8 ok  (va=275c vb=314c mod=114c)
    round 3/8 ok  (va=214c vb=269c mod=140c)
    round 4/8 ok  (va=229c vb=275c mod=195c)
    round 5/8 ok  (va=229c vb=226c mod=142c)
    round 6/8 ok  (va=260c vb=295c mod=159c)
    round 7/8 ok  (va=263c vb=295c mod=189c)
    round 8/8 ok  (va=275c vb=284c mod=279c)
    saved: C:\Users\azril\OneDrive\Desktop\fincail_game\new\pipeline\debates\round2\production_designer_מפתח_מ03.json
[08/23] רתמה_מ04  (elapsed 462s)
    round 1/8 ok  (va=532c vb=359c mod=134c)
    round 2/8 ok  (va=304c vb=223c mod=158c)
    round 3/8 ok  (va=195c vb=207c mod=117c)
